Date,Steps,Distance_km,Active_Energy_kcal,Resting_Heart_Rate_bpm
2017-06-09,1965,1.34,0.0,
2017-06-10,4061,2.39,0.0,
2017-06-11,2879,1.6,0.0,
2017-06-12,231,0.15,0.0,
2017-06-13,1474,0.81,0.0,
2017-06-14,5916,3.4,0.0,
2017-06-15,388,0.22,0.0,
2017-06-16,1772,0.92,0.0,
2017-06-17,2095,1.15,0.0,
2017-06-18,5917,3.41,0.0,
2017-06-19,4601,2.38,0.0,
2017-06-20,8308,4.61,0.0,
2017-06-21,7630,4.17,0.0,
2017-06-22,1131,0.55,0.0,
2017-06-23,3325,1.75,0.0,
2017-06-24,3175,1.85,0.0,
2017-06-25,18231,10.66,0.0,
2017-06-26,13085,7.17,0.0,
2017-06-27,22215,12.65,0.0,
2017-06-28,4910,3.06,0.0,
2017-06-29,4784,2.88,0.0,
2017-06-30,8314,4.85,0.0,
2017-07-01,17694,10.45,0.0,
2017-07-02,14093,8.51,0.0,
2017-07-03,580,0.29,0.0,
2017-07-04,566,0.29,0.0,
2017-07-05,5466,3.17,0.0,
2017-07-06,11526,7.1,0.0,
2017-07-07,6824,3.79,0.0,
2017-07-08,2370,1.54,0.0,
2017-07-09,3280,1.84,0.0,
2017-07-10,9068,5.51,0.0,
2017-07-11,5841,3.22,0.0,
2017-07-12,8143,4.51,0.0,
2017-07-13,7383,3.85,0.0,
2017-07-14,342,0.19,0.0,
2017-07-15,3198,1.69,0.0,
2017-07-16,1124,0.59,0.0,
2017-07-17,4289,2.38,0.0,
2017-07-18,5711,3.33,0.0,
2017-07-19,11978,7.19,0.0,
2017-07-20,1978,1.24,0.0,
2017-07-21,5185,2.93,0.0,
2017-07-22,7646,4.25,0.0,
2017-07-23,4727,2.75,0.0,
2017-07-24,4612,2.67,0.0,
2017-07-25,11494,6.5,0.0,
2017-07-26,2198,1.18,0.0,
2017-07-27,7644,4.04,0.0,
2017-07-28,11777,6.46,0.0,
2017-07-29,987,0.59,0.0,
2017-07-30,406,0.19,0.0,
2017-07-31,14647,7.86,0.0,
2017-08-01,4989,2.46,0.0,
2017-08-02,1124,0.62,0.0,
2017-08-03,9798,5.49,0.0,
2017-08-04,4404,2.29,0.0,
2017-08-05,5157,2.77,0.0,
2017-08-06,1799,1.04,0.0,
2017-08-07,256,0.14,0.0,
2017-08-08,1056,0.61,0.0,
2017-08-09,1536,0.89,0.0,
2017-08-10,858,0.45,0.0,
2017-08-11,3649,2.54,0.0,
2017-08-12,4327,2.49,0.0,
2017-08-13,888,0.54,0.0,
2017-08-14,1408,0.82,0.0,
2017-08-15,486,0.29,0.0,
2017-08-16,5008,3.03,0.0,
2017-08-17,597,0.37,0.0,
2017-08-18,661,0.4,0.0,
2017-08-19,2539,1.39,0.0,
2017-08-20,765,0.38,0.0,
2017-08-21,1852,0.98,0.0,
2017-08-22,1812,1.03,0.0,
2017-08-23,1022,0.58,0.0,
2017-08-24,520,0.3,0.0,
2017-08-25,845,0.56,0.0,
2017-08-26,6108,3.72,0.0,
2017-08-27,2833,1.75,0.0,
2017-08-28,640,0.4,0.0,
2017-08-29,729,0.49,0.0,
2017-08-30,683,0.4,0.0,
2017-08-31,2441,1.42,0.0,
2017-09-01,851,0.6,0.0,
2017-09-02,1901,1.07,0.0,
2017-09-03,1489,0.73,0.0,
2017-09-04,714,0.43,0.0,
2017-09-05,4404,3.0,0.0,
2017-09-06,1405,0.91,0.0,
2017-09-07,2542,1.69,0.0,
2017-09-08,4120,3.05,0.0,
2017-09-09,3268,2.11,0.0,
2017-09-10,1346,0.79,0.0,
2017-09-11,8163,4.77,0.0,
2017-09-12,8653,5.22,0.0,
2017-09-13,2938,1.89,0.0,
2017-09-14,2759,1.78,0.0,
2017-09-15,244,0.15,0.0,
2017-09-16,883,0.48,0.0,
2017-09-17,3195,1.94,0.0,
2017-09-18,142,0.1,0.0,
2017-09-19,651,0.4,0.0,
2017-09-20,1233,0.76,0.0,
2017-09-21,1098,0.7,0.0,
2017-09-22,371,0.25,0.0,
2017-09-23,3391,1.86,0.0,
2017-09-24,2007,1.12,0.0,
2017-09-25,443,0.28,0.0,
2017-09-26,752,0.55,0.0,
2017-09-27,1337,0.8,0.0,
2017-09-28,4705,2.82,0.0,
2017-09-29,5318,2.96,0.0,
2017-09-30,3414,1.94,0.0,
2017-10-01,1383,0.82,0.0,
2017-10-02,6265,3.69,0.0,
2017-10-03,5121,3.21,0.0,
2017-10-04,3737,2.3,0.0,
2017-10-05,5247,3.05,0.0,
2017-10-06,4648,2.77,0.0,
2017-10-07,1754,0.95,0.0,
2017-10-08,1796,1.03,0.0,
