Date,Walking_Speed_kmh,Walking_Step_Length_cm,Walking_Asymmetry_pct,Walking_Double_Support_pct,Flights_Climbed,Resting_Heart_Rate_bpm
2026-06-06,4.36,62.4,1.08,27.8,28.0,66.0
2026-06-07,4.53,64.2,1.67,27.7,6.0,73.0
2026-06-08,4.32,64.3,1.41,28.2,19.0,57.0
2026-06-09,4.18,63.6,1.41,28.1,48.0,60.0
2026-06-10,4.01,60.8,2.77,28.7,40.0,54.0
2026-06-11,4.29,64.5,1.0,28.2,39.0,50.0
2026-06-12,4.43,64.3,0.88,27.7,34.0,
2026-06-13,4.12,62.4,1.12,28.6,15.0,
2026-06-14,4.08,60.9,2.42,28.5,16.0,59.0
2026-06-15,4.14,61.8,2.2,28.6,10.0,52.0
2026-06-16,4.03,60.5,1.0,28.8,42.0,54.0
2026-06-17,3.77,57.6,3.54,29.2,39.0,65.0
2026-06-18,3.94,60.4,1.82,29.1,62.0,52.0
2026-06-19,4.03,60.8,3.31,28.8,29.0,56.0
2026-06-20,4.5,65.7,0.75,27.5,20.0,
2026-06-21,4.2,62.3,0.65,28.5,22.0,60.0
2026-06-22,4.28,64.0,0.09,28.1,17.0,61.0
2026-06-23,3.93,62.7,3.94,28.3,44.0,53.0
2026-06-24,4.2,63.7,0.35,28.4,29.0,51.0
2026-06-25,3.99,61.5,1.95,28.9,43.0,51.0
2026-06-26,4.04,60.9,1.07,28.6,37.0,51.0
2026-06-27,3.77,57.9,2.2,29.3,21.0,59.0
2026-06-28,3.98,57.0,4.47,28.5,16.0,74.0
2026-06-29,3.67,56.2,,29.0,3.0,
2026-06-30,4.13,60.7,0.46,28.4,14.0,78.0
2026-07-01,4.34,64.6,0.62,28.2,14.0,58.0
2026-07-02,4.33,64.8,0.5,28.2,55.0,50.0
2026-07-03,4.14,61.8,0.64,28.3,45.0,49.0
2026-07-04,4.11,59.0,1.96,28.7,27.0,
2026-07-05,4.28,62.8,0.87,28.4,44.0,56.0
2026-07-06,3.78,58.1,3.96,29.3,28.9,53.0
2026-07-07,3.89,59.2,1.31,29.0,61.2,47.0
2026-07-08,4.21,63.2,1.29,28.3,49.9,55.0
2026-07-09,4.16,61.6,0.37,28.8,47.7,51.0
2026-07-10,4.03,61.7,1.32,28.6,27.0,52.0
2026-07-11,4.04,60.6,0.53,28.8,26.8,56.0
2026-07-12,3.7,54.5,2.23,28.9,30.2,56.0
2026-07-13,3.54,53.5,6.0,29.4,21.0,
2026-07-14,4.26,65.5,0.82,28.9,9.0,
2026-07-15,4.15,61.6,2.14,28.5,37.1,77.0
2026-07-16,3.97,60.3,4.92,28.9,19.8,62.0
2026-07-17,3.93,59.4,2.69,28.6,41.5,55.0
2026-07-18,3.68,58.4,4.22,29.3,41.8,65.0
2026-07-19,4.25,63.2,0.88,28.5,28.9,60.0
2026-07-20,4.29,63.1,1.6,28.2,34.2,50.0
2026-07-21,4.32,66.5,0.0,28.2,20.3,50.0
2026-07-22,4.21,63.4,0.73,28.4,32.0,51.0
2026-07-23,4.29,62.8,1.04,28.2,68.8,51.0
2026-07-24,4.35,63.8,0.3,27.9,18.1,
2026-07-25,4.32,64.6,2.0,28.1,21.4,56.0
2026-07-26,3.6,59.1,2.06,30.1,20.0,56.0
2026-07-27,4.25,62.8,1.82,28.5,25.9,57.0
2026-07-28,4.02,64.2,0.53,29.1,27.6,57.0
2026-07-29,3.85,57.5,0.33,28.6,27.1,58.0
