Date,Calories_kcal,Protein_g,Carbs_g,Fat_g,Fiber_g
2025-08-25,0.0,0.0,0.0,0.0,0.0
2025-08-26,2984.0,215.2,238.9,126.4,22.2
2025-08-27,2679.0,187.8,363.2,45.3,70.8
2025-08-28,2788.0,178.3,290.9,94.3,30.1
2025-08-29,3140.0,192.5,281.4,135.9,31.2
2025-08-30,2051.0,146.5,156.8,93.2,28.2
2025-08-31,2251.0,151.5,261.6,61.6,26.1
2025-09-01,2640.0,259.1,252.4,74.4,29.9
2025-09-02,2597.0,153.1,247.7,92.9,27.7
2025-09-03,3327.0,217.7,278.1,144.1,32.6
2025-09-04,2394.0,186.0,292.9,45.0,54.6
2025-09-05,1237.0,120.5,148.2,19.0,26.1
2025-09-06,2590.0,183.1,243.9,91.9,34.8
2025-09-07,2508.0,245.7,250.7,50.5,52.1
2025-09-08,2856.0,222.3,283.2,91.5,29.5
2025-09-09,2569.0,142.3,363.4,58.1,39.4
2025-09-10,2355.0,156.0,232.0,98.0,25.0
2025-09-11,1508.0,104.0,150.6,55.9,22.0
2025-09-12,909.0,67.7,45.7,55.4,5.0
2025-09-13,1386.0,89.0,181.4,39.5,18.2
2025-09-14,1272.0,73.8,129.5,59.3,15.7
2025-09-15,2771.0,160.4,388.5,67.0,66.2
2025-09-16,2379.0,172.2,290.0,60.6,39.7
2025-09-17,2856.0,170.3,297.7,104.3,24.9
2025-09-18,2155.0,160.6,175.6,84.0,38.7
2025-09-19,1452.0,124.3,97.7,51.9,11.5
2025-09-20,2931.0,144.7,255.6,141.2,30.1
2025-09-21,852.0,36.5,80.2,36.1,3.7
2025-09-22,2716.0,209.9,301.4,70.9,46.9
2025-09-23,2582.0,131.2,322.4,80.4,20.1
2025-09-24,2941.0,146.6,397.2,73.6,41.4
2025-09-25,2727.0,162.3,390.2,48.9,33.8
2025-09-26,704.0,54.4,79.5,16.9,8.4
2025-09-27,2070.0,115.0,180.0,95.0,17.0
2025-09-28,1145.0,50.8,86.0,68.2,12.0
2025-09-29,2240.0,110.8,238.6,78.0,30.8
2025-09-30,7578.0,389.0,953.4,223.6,76.6
2025-10-01,3788.0,206.9,370.4,154.0,48.7
2025-10-02,2466.0,195.5,267.8,64.3,37.0
2025-10-03,3890.0,258.0,364.0,152.0,58.0
2025-10-04,1054.0,48.3,151.0,23.9,14.9
2025-10-05,2658.0,162.1,265.1,100.9,27.9
2025-10-06,5424.0,389.0,696.8,85.5,60.1
2025-10-07,5946.0,407.9,620.5,153.9,90.8
2025-10-08,5555.0,363.6,559.3,204.8,60.2
2025-10-09,2863.0,190.0,350.6,69.7,55.4
2025-10-10,3156.0,168.9,344.1,123.9,41.4
2025-10-11,4956.0,228.9,584.1,186.9,87.9
2025-10-12,960.0,36.0,110.0,40.0,8.0
2025-10-13,6096.0,488.2,572.4,204.4,61.2
2025-10-14,5846.0,272.7,707.7,209.7,108.9
2025-10-15,5538.0,413.8,574.0,177.6,92.4
2025-10-16,228.0,40.0,15.6,0.8,0.0
2025-10-17,0.0,0.0,0.0,0.0,0.0
2025-10-18,3875.0,207.7,401.3,151.2,38.6
2025-10-19,2215.0,149.0,250.7,67.2,38.1
2025-10-20,7099.0,357.1,464.3,154.1,59.7
2025-10-21,2565.0,196.9,263.9,66.3,27.7
2025-10-22,6853.0,363.3,588.0,342.4,57.5
2025-10-23,2437.0,173.2,240.2,83.9,28.1
2025-10-24,2984.0,221.2,147.4,162.4,13.1
2025-10-25,3430.0,240.0,180.0,186.0,20.0
2025-10-26,1238.0,47.8,138.6,52.6,10.0
2025-10-27,6319.0,331.0,749.9,204.2,86.5
2025-10-28,6837.0,308.0,711.9,283.7,110.8
2025-10-29,1929.0,179.7,215.2,39.0,16.0
2025-10-30,5358.0,494.6,469.8,151.4,42.2
2025-10-31,3789.0,389.7,322.0,103.1,36.2
2025-11-01,0.0,0.0,0.0,0.0,0.0
2025-11-02,2192.0,154.7,214.7,80.3,24.1
2025-11-03,6625.0,386.4,767.1,228.2,69.7
2025-11-04,4985.0,406.9,414.9,201.6,40.8
2025-11-05,5049.0,334.0,638.3,129.4,67.0
2025-11-06,7121.0,445.3,925.5,139.7,95.9
2025-11-07,7203.0,368.2,806.9,257.1,76.7
2025-11-08,5650.0,300.4,750.8,131.6,84.3
2025-11-09,6518.0,407.5,543.9,292.3,65.8
2025-11-10,6908.0,428.8,629.3,292.7,47.4
2025-11-11,4732.0,280.6,505.2,154.6,52.6
2025-11-12,3069.0,227.0,283.2,107.6,25.4
2025-11-13,4838.0,282.4,439.4,200.8,31.2
2025-11-14,2944.0,213.4,307.5,85.6,30.6
2025-11-15,720.0,36.0,90.0,24.0,6.0
2025-11-16,6400.0,310.0,564.0,312.0,61.0
2025-11-17,4932.0,443.5,478.9,127.4,62.6
2025-11-18,2767.0,146.6,325.2,96.7,57.7
2025-11-19,3140.0,203.8,417.3,66.2,32.3
2025-11-20,2407.0,175.5,277.1,57.1,18.7
2025-11-21,1408.0,131.1,110.0,47.6,5.2
2025-11-22,630.0,54.0,48.0,18.0,9.0
2025-11-23,807.0,51.0,50.0,46.0,12.0
2025-11-24,1202.0,80.8,66.1,66.2,6.6
2025-11-25,2391.0,88.1,375.5,52.0,53.3
2025-11-26,2626.0,162.3,237.2,106.3,24.1
2025-11-27,3551.0,171.2,410.6,122.0,49.1
2025-11-28,1240.0,65.9,119.1,57.0,21.6
2025-11-29,3416.0,147.0,349.0,149.0,26.0
2025-11-30,1950.0,90.0,30.0,135.0,3.0
2025-12-01,936.0,45.0,85.0,43.0,6.5
2025-12-02,1870.0,108.3,231.3,51.9,25.5
2025-12-03,1287.0,53.7,207.9,23.0,23.6
2025-12-04,1405.0,73.9,183.7,36.4,16.9
2025-12-05,520.0,18.0,35.0,35.0,4.0
2025-12-06,2769.0,149.8,210.5,144.3,20.5
2025-12-07,2217.0,113.1,340.6,44.1,11.9
2025-12-08,998.0,60.5,100.4,29.4,14.5
2025-12-09,2053.0,156.7,155.4,83.0,42.7
2025-12-10,958.0,101.2,109.8,20.2,6.2
2025-12-11,432.0,36.0,2.4,30.0,0.0
2025-12-12,700.0,32.0,85.0,25.0,5.0
2025-12-13,286.0,25.6,1.6,19.6,0.0
2025-12-14,2054.0,87.1,172.1,109.0,13.0
2025-12-15,2046.0,136.0,223.0,71.4,24.0
2025-12-16,1830.0,133.2,170.4,70.4,21.1
2025-12-17,1780.0,129.8,108.0,92.0,6.1
2025-12-18,1516.0,107.5,167.6,45.9,20.0
2025-12-20,2240.0,153.7,30.0,138.9,3.0
2025-12-21,1089.0,97.2,106.4,22.4,6.1
2025-12-22,2278.0,134.2,271.3,55.0,32.1
2025-12-23,1530.0,47.0,200.0,52.0,18.0
2025-12-24,2460.0,129.0,190.0,138.0,7.0
2025-12-25,2550.0,114.0,78.0,171.0,7.8
2025-12-26,3025.0,119.7,158.8,184.7,18.0
2025-12-27,1610.0,61.5,139.5,91.2,11.5
2025-12-28,2371.0,136.2,193.5,115.0,15.7
2025-12-29,3391.0,193.3,310.4,140.9,31.9
2025-12-30,870.0,55.0,65.0,45.0,10.0
2025-12-31,1950.0,90.0,30.0,135.0,3.0
2026-01-01,1745.0,87.0,110.0,110.0,8.0
2026-01-03,730.0,38.5,53.6,42.3,2.1
2026-01-06,2634.0,237.3,253.1,65.8,20.4
2026-01-07,1698.0,147.3,170.1,42.3,9.4
2026-01-08,3060.0,203.5,319.9,93.1,20.4
2026-01-09,2638.0,210.7,272.4,67.3,20.1
2026-01-10,2507.0,185.2,200.4,87.4,20.1
2026-01-11,3020.0,182.1,268.7,133.4,38.6
2026-01-12,2358.0,183.3,242.2,54.3,24.6
2026-01-13,1805.0,88.0,299.7,23.6,31.8
2026-01-14,2069.0,145.7,205.7,38.5,16.2
2026-01-15,1342.0,131.9,103.6,32.4,5.6
2026-01-16,1020.0,49.2,94.8,44.4,22.8
2026-01-17,521.0,23.4,67.8,9.3,27.1
2026-01-20,2343.0,151.7,285.6,42.3,26.1
2026-01-21,1729.0,129.2,135.9,71.4,18.1
2026-01-22,2262.0,158.8,190.0,87.5,18.6
2026-01-23,809.0,77.2,47.9,33.4,6.1
2026-01-26,2495.0,145.4,302.3,64.6,50.0
2026-01-27,2248.0,83.0,363.5,47.5,44.7
2026-01-28,1025.0,88.5,110.4,27.3,11.5
2026-01-29,1285.0,135.5,76.5,28.1,2.5
2026-01-30,647.0,46.9,61.3,22.7,4.3
2026-02-01,2175.0,124.2,291.8,53.0,39.0
2026-02-02,1973.0,161.2,234.8,32.9,32.0
2026-02-03,2191.0,133.6,264.5,70.1,29.7
2026-03-01,1696.0,113.8,144.5,68.3,28.1
2026-03-02,2513.0,245.9,182.8,76.1,27.1
2026-03-03,2102.0,176.8,241.0,37.8,36.4
2026-03-04,2487.0,246.3,228.3,75.2,35.3
2026-03-05,1514.0,129.2,186.2,27.3,37.2
2026-03-07,1564.0,117.4,151.9,53.1,9.2
2026-03-09,904.0,47.0,112.5,28.3,8.0
2026-03-10,459.0,25.0,70.0,7.7,3.9
2026-03-16,2577.0,136.1,310.6,83.0,20.1
2026-03-17,2901.0,168.1,284.2,115.4,46.0
2026-03-18,3037.0,158.9,317.1,114.2,45.2
2026-03-19,1330.0,117.9,94.5,46.4,5.5
2026-03-31,2916.0,217.3,357.6,62.4,58.2
2026-04-01,1958.0,155.3,158.7,68.8,13.1
2026-04-02,1023.0,69.3,124.8,21.3,20.3
2026-04-03,2175.0,104.8,274.9,66.7,19.1
2026-04-07,934.0,73.6,66.3,38.0,14.4
2026-04-08,594.0,59.2,46.4,18.4,6.1
2026-04-09,2932.0,301.7,299.8,60.1,19.3
2026-04-10,1306.0,127.5,100.0,45.9,7.5
2026-04-11,2732.0,220.3,305.6,66.6,29.1
2026-04-12,3250.0,201.8,427.7,69.6,33.9
2026-04-13,3270.0,151.2,613.7,21.4,44.0
2026-04-14,2147.0,176.3,284.7,35.2,42.6
2026-04-15,2409.0,186.4,257.6,62.2,46.2
2026-04-16,2830.0,268.5,267.6,65.7,33.5
2026-04-17,318.0,27.3,2.4,22.0,0.0
2026-04-18,2461.0,171.7,329.8,69.4,13.5
2026-04-19,2127.0,139.3,176.3,89.5,32.8
2026-04-20,3039.0,206.0,307.6,97.2,36.5
2026-04-21,2318.0,158.4,301.2,45.0,33.2
2026-04-22,3145.0,213.8,281.6,100.0,33.3
2026-04-23,3095.0,153.7,286.5,149.5,17.5
2026-04-24,2834.0,169.0,312.2,97.9,31.0
2026-04-25,2125.0,113.7,172.2,111.7,9.7
2026-04-26,3028.0,151.0,345.9,105.6,31.7
2026-04-27,2538.0,222.5,314.5,37.8,19.2
2026-04-28,3431.0,200.6,420.2,90.4,25.4
2026-04-29,1785.0,138.8,172.8,60.0,19.6
2026-04-30,2608.0,232.7,242.7,69.6,32.0
2026-05-03,3036.0,196.5,406.2,64.2,35.1
2026-05-04,3466.0,257.8,376.2,89.2,32.4
2026-05-05,3767.0,272.4,414.2,102.3,45.3
2026-05-06,3567.0,255.0,324.7,119.5,34.0
2026-05-07,3272.0,321.5,273.3,79.9,25.1
2026-05-08,910.0,51.0,110.0,21.0,5.0
2026-05-11,1177.0,77.0,102.0,41.0,9.9
2026-05-12,3793.0,281.3,406.4,109.3,37.4
2026-05-13,3363.0,273.3,286.0,111.9,27.8
2026-05-15,3291.0,240.7,348.1,87.5,38.0
2026-05-16,2024.0,165.7,180.7,69.1,10.3
2026-05-17,2800.0,160.0,220.0,152.0,20.0
2026-05-18,3458.0,242.3,356.4,91.6,34.4
2026-05-19,3186.0,208.9,299.2,95.2,38.8
