Date,Total_Sleep_hrs,Deep_Sleep_hrs,REM_Sleep_hrs,Core_Sleep_hrs,Awake_hrs,In_Bed_hrs
2026-03-07,7.5,2.1,2.4,2.9,0.6,16.2
2026-03-08,1.1,0,0.2,1.0,0,9.2
2026-03-09,4.4,0.6,0.2,3.6,2.4,6.9
2026-03-10,7.3,1.8,0.6,4.9,0.6,23.5
2026-03-11,8.9,3.4,2.0,3.5,0.0,17.1
2026-03-12,6.9,1.2,1.0,4.7,0,6.9
2026-03-13,6.2,1.7,1.3,3.2,0.1,12.6
2026-03-14,4.4,0.7,1.1,2.7,0.2,9.3
2026-03-15,8.3,2.0,1.0,5.3,0.1,23.5
2026-03-16,6.6,2.1,1.4,3.2,0.0,6.7
2026-03-17,8.1,3.0,2.3,2.7,0.1,22.9
2026-03-18,6.5,0.9,1.4,4.2,0.1,6.7
2026-03-19,7.2,1.7,1.8,3.7,0.1,14.8
2026-03-22,7.0,0.9,1.6,4.5,0.6,15.2
2026-03-28,6.7,1.5,1.4,3.8,0.6,14.6
2026-03-29,5.5,2.1,1.1,2.3,1.1,14.7
2026-03-30,3.2,1.7,0.3,1.2,0.1,12.8
2026-03-31,6.0,2.8,1.5,1.7,0.4,6.4
2026-04-01,8.3,3.2,1.1,3.9,0.1,22.5
2026-04-02,5.3,1.0,1.4,2.9,0.4,5.7
2026-04-03,5.6,0.9,0.8,3.9,0.7,12.5
2026-04-04,8.3,1.7,1.9,4.7,0.3,17.2
2026-04-06,1.9,0.8,0,1.1,0.2,10.7
2026-04-07,8.3,1.9,1.7,4.8,0.1,15.7
2026-04-08,5.5,0.8,1.3,3.4,0,5.5
2026-04-09,7.5,2.8,2.0,2.8,0.2,21.9
2026-04-10,6.4,1.0,1.1,4.3,0.0,6.5
2026-04-11,7.4,1.3,1.1,5.0,0.3,23.7
2026-04-12,10.1,1.9,1.7,6.6,0.3,18.0
2026-04-13,7.4,2.2,1.1,4.1,0.0,15.4
2026-04-14,7.9,2.3,1.3,4.3,0.2,16.5
2026-04-15,6.4,1.0,1.9,3.6,0.0,6.5
2026-04-16,9.0,3.1,1.1,4.8,0.2,23.9
2026-04-17,5.4,0.9,1.4,3.1,0,5.4
2026-04-19,6.6,1.6,0.4,4.7,1.3,22.6
2026-04-20,7.6,2.4,1.0,4.2,0.2,15.3
2026-04-21,8.2,2.4,1.4,4.4,0.0,16.1
2026-04-22,7.3,2.5,1.8,3.0,0.0,15.0
2026-04-23,8.1,1.9,2.3,3.8,0.2,16.8
2026-04-24,6.9,1.0,1.6,4.2,0.0,14.0
2026-04-25,8.6,3.0,1.5,4.2,0.4,17.5
2026-04-26,7.4,1.5,2.2,3.6,0.2,14.5
2026-04-27,7.7,2.6,1.3,3.8,0.1,16.0
2026-04-28,7.2,1.6,1.7,3.9,0.4,15.0
2026-04-29,7.5,1.9,0.9,4.7,0,14.8
2026-04-30,5.5,1.0,1.7,2.9,0.2,6.2
2026-05-03,7.5,1.8,1.6,4.1,0.2,18.9
2026-05-04,5.0,0.6,0,4.4,0.1,13.5
2026-05-05,8.3,2.0,1.7,4.6,0.0,15.6
2026-05-06,5.8,0.4,1.3,4.1,0,5.8
2026-05-07,5.8,0.9,0.8,4.1,0.4,12.4
2026-05-11,1.1,0,0,1.1,0.0,9.3
2026-05-12,7.9,1.8,1.2,4.8,0,15.5
2026-05-13,6.8,0.7,1.1,5.0,0,6.8
2026-05-16,7.6,0.9,2.1,4.6,0,7.6
2026-05-17,1.9,1.4,0,0.4,0,9.4
2026-05-18,7.5,0.7,1.1,5.6,0,16.1
2026-05-19,7.4,1.2,1.0,5.2,0,16.0
2026-05-20,8.4,1.8,1.8,4.7,0.0,16.0
2026-05-21,7.4,1.8,1.6,4.0,0.1,15.5
2026-05-22,6.5,1.6,2.2,2.7,0.0,6.5
2026-05-24,7.9,2.1,2.2,3.5,0.1,16.1
2026-05-25,1.5,0.3,0,1.3,0.0,9.9
2026-05-26,8.0,1.4,1.7,5.0,0.5,15.9
2026-05-27,6.3,1.0,1.4,3.8,0.1,13.4
2026-05-28,6.0,1.3,0.8,3.9,1.2,14.4
2026-05-29,5.4,0.8,0.9,3.7,0.8,6.2
2026-06-01,0.6,0.4,0,0.2,0,7.8
2026-06-02,7.1,2.2,1.1,3.8,0.4,14.6
2026-06-03,5.9,1.2,0.7,4.0,0.2,6.1
2026-06-09,8.4,1.8,0.9,5.6,0.3,16.3
2026-06-10,6.0,0.8,1.1,4.1,0.1,13.1
2026-06-11,6.3,0.8,1.4,4.1,0.0,6.4
2026-06-15,7.6,1.3,1.2,5.1,0.0,21.7
2026-06-16,6.3,1.1,1.9,3.3,0.0,6.4
2026-06-17,1.1,0.4,0,0.8,0.1,8.3
2026-06-18,6.2,1.2,1.0,4.0,0.6,14.2
2026-06-19,6.2,0.5,1.0,4.6,0.2,6.4
2026-06-22,1.7,0.8,0,0.9,0,9.7
2026-06-23,7.6,1.6,0.9,5.2,0.1,15.4
2026-06-24,6.1,1.2,1.6,3.4,0.0,6.2
2026-06-25,7.1,1.6,1.3,4.2,0.1,20.2
2026-06-26,5.7,1.1,1.5,3.1,0.1,5.8
2026-07-01,7.2,1.8,0.4,5.1,0.2,20.4
2026-07-02,5.6,0.8,1.7,3.1,0,5.6
2026-07-03,6.1,0.9,0.7,4.6,0.0,12.3
2026-07-06,8.3,3.7,1.5,3.1,0.0,22.8
2026-07-07,6.1,1.9,1.3,2.9,0.1,6.2
2026-07-08,6.5,0.8,0.7,5.0,0.8,14.7
2026-07-09,6.9,1.7,1.4,3.8,0.3,14.3
2026-07-10,6.1,1.7,1.3,3.2,0.1,12.4
2026-07-16,8.0,2.5,0.6,4.8,0.2,22.3
2026-07-17,5.8,0.4,1.1,4.3,0.1,6.0
2026-07-19,5.0,1.4,0,3.5,0.5,16.8
2026-07-20,7.4,1.6,2.2,3.6,0,15.3
2026-07-21,6.8,1.6,1.7,3.4,0.2,13.5
2026-07-22,6.6,1.7,1.4,3.5,0,13.9
2026-07-23,6.5,1.4,1.3,3.8,0.0,6.6
2026-07-28,6.8,1.2,1.2,4.4,0.2,13.9
2026-07-30,7.6,0.9,2.1,4.5,0.7,8.2
2026-08-02,0.9,0.7,0,0.3,0.3,9.5
2026-08-03,7.3,0.6,1.9,4.9,0.0,14.1
2026-08-04,7.6,1.6,0.8,5.2,0.1,14.1
2026-08-05,5.4,0.7,0.6,4.1,0.2,12.1
2026-08-06,6.8,1.9,1.9,3.1,0.0,14.7
2026-08-07,6.9,1.4,1.5,4.0,0.1,13.9
2026-08-08,6.4,1.2,2.1,3.1,0,6.4
2026-08-09,6.7,2.3,1.2,3.1,0.1,19.2
2026-08-10,5.4,0.6,1.3,3.5,0.2,5.6
2026-08-11,7.5,1.1,1.1,5.3,0.7,16.3
2026-08-12,4.7,1.6,0.8,2.3,0,9.5
2026-08-13,5.1,1.2,0.3,3.6,1.8,13.8
2026-08-14,7.2,2.5,1.4,3.3,0.0,14.5
2026-08-15,6.1,1.4,1.3,3.3,0.6,13.3
2026-08-16,5.9,2.2,0.5,3.3,0.6,19.5
2026-08-17,8.1,2.6,1.4,4.2,0.0,15.8
2026-08-18,7.2,1.6,1.6,4.1,0.1,15.5
2026-08-19,6.6,0.8,2.0,3.8,0.1,6.7
2026-08-25,2.1,0.9,0,1.2,0.0,10.3
2026-08-26,7.5,1.0,1.4,5.1,0.1,15.7
2026-08-27,6.5,0.9,1.5,4.0,0,6.5
2026-08-30,2.6,1.2,0,1.4,0.0,11.6
2026-08-31,8.4,2.2,1.3,4.9,0.1,16.5
2026-09-01,6.0,0.6,0.9,4.6,0,6.0
