Date,Start_Time,Workout_Type,Duration_min,Active_Energy_kcal,Distance_km,Source
2020-10-01,2020-10-01 18:40:52 +0200,Running,48.3,0.0,0.0,Goals-Fitness
2020-10-05,2020-10-05 18:41:21 +0200,Running,47.0,0.0,0.0,Goals-Fitness
2020-10-07,2020-10-07 18:25:12 +0200,Running,47.1,0.0,0.0,Goals-Fitness
2020-10-09,2020-10-09 18:07:14 +0200,Running,23.4,0.0,0.0,Goals-Fitness
2020-10-21,2020-10-21 18:11:10 +0200,Running,34.5,0.0,0.0,Goals-Fitness
2020-11-03,2020-11-03 12:57:18 +0200,Running,31.0,0.0,0.0,Goals-Fitness
2020-11-07,2020-11-07 18:13:51 +0200,Running,48.3,0.0,0.0,Goals-Fitness
2020-11-09,2020-11-09 16:38:46 +0200,Running,31.8,0.0,0.0,Goals-Fitness
2020-11-11,2020-11-11 18:02:58 +0200,Running,46.5,0.0,0.0,Goals-Fitness
2020-11-13,2020-11-13 19:18:58 +0200,Running,45.5,0.0,0.0,Goals-Fitness
2020-11-16,2020-11-16 19:04:05 +0200,Running,40.0,0.0,0.0,Goals-Fitness
2020-11-19,2020-11-19 18:43:37 +0200,Running,27.4,0.0,0.0,Goals-Fitness
2020-12-27,2020-12-27 13:39:06 +0200,Running,20.8,0.0,0.0,Goals-Fitness
2024-06-15,2024-06-15 11:15:42 +0200,Running,32.2,0.0,0.0,Strava
2024-06-19,2024-06-19 18:10:09 +0200,Running,45.9,0.0,0.0,Strava
2024-06-26,2024-06-26 09:48:40 +0200,Running,11.4,0.0,0.0,Strava
2024-06-28,2024-06-28 15:30:00 +0200,Squash,45.0,0.0,0.0,Health
2024-07-03,2024-07-03 13:21:45 +0200,Running,17.7,0.0,0.0,Strava
2024-07-07,2024-07-07 17:19:16 +0200,Running,24.5,0.0,0.0,Strava
2024-08-09,2024-08-09 12:01:31 +0200,Running,18.2,0.0,0.0,Strava
2024-08-14,2024-08-14 07:29:58 +0200,Running,24.5,0.0,0.0,Strava
2024-08-16,2024-08-16 07:47:18 +0200,Running,31.1,0.0,0.0,Strava
2024-08-17,2024-08-17 07:31:33 +0200,Running,23.6,0.0,0.0,Strava
2024-09-13,2024-09-13 19:03:17 +0200,Running,25.0,0.0,0.0,Strava
2024-10-05,2024-10-05 11:44:32 +0200,Running,34.5,0.0,0.0,Strava
2024-10-15,2024-10-15 20:22:19 +0200,Running,45.6,0.0,0.0,Strava
2024-10-19,2024-10-19 14:21:05 +0200,Other,47.1,0.0,0.0,Strava
2024-10-29,2024-10-29 08:12:57 +0200,Running,25.4,0.0,0.0,Strava
2024-11-03,2024-11-03 12:58:29 +0200,Running,4.7,0.0,0.0,Strava
2024-11-03,2024-11-03 14:06:41 +0200,Running,4.1,0.0,0.0,Strava
2024-11-10,2024-11-10 15:20:14 +0200,Running,22.5,0.0,0.0,Strava
2024-11-11,2024-11-11 13:02:37 +0200,Running,4.6,0.0,0.0,Strava
2024-11-11,2024-11-11 14:14:38 +0200,Running,4.4,0.0,0.0,Strava
2024-11-15,2024-11-15 21:46:58 +0200,Running,28.7,0.0,0.0,Strava
2024-11-16,2024-11-16 12:43:55 +0200,Hiking,150.8,0.0,0.0,Strava
2024-11-19,2024-11-19 08:12:34 +0200,Running,44.8,0.0,0.0,Strava
2024-11-19,2024-11-19 08:20:43 +0200,Running,19.0,0.0,0.0,Strava
2024-11-28,2024-11-28 21:08:41 +0200,Running,45.1,0.0,0.0,Strava
2024-12-03,2024-12-03 20:56:37 +0200,Running,60.7,0.0,0.0,Strava
2024-12-13,2024-12-13 20:24:23 +0200,Running,19.6,0.0,0.0,Strava
2025-02-08,2025-02-08 16:01:58 +0200,Other,51.0,0.0,0.0,Strava
2025-06-08,2025-06-08 16:32:25 +0200,Other,42.0,0.0,0.0,Strava
2025-06-21,2025-06-21 08:19:29 +0200,Running,42.1,0.0,0.0,Strava
2025-07-06,2025-07-06 17:48:00 +0200,Other,64.0,0.0,0.0,Strava
2025-07-26,2025-07-26 14:53:58 +0200,Running,46.9,0.0,0.0,Strava
2025-07-27,2025-07-27 17:50:59 +0200,Other,40.2,0.0,0.0,Strava
2025-08-15,2025-08-15 14:12:22 +0200,Hiking,37.7,0.0,0.0,Strava
2025-08-15,2025-08-15 14:51:10 +0200,Running,21.2,0.0,0.0,Strava
2025-09-02,2025-09-02 00:00:00 +0200,Other,60.0,0.0,0.0,Foodvisor
2025-09-03,2025-09-03 00:00:00 +0200,Other,60.0,0.0,0.0,Foodvisor
2025-09-04,2025-09-04 00:00:00 +0200,Other,60.0,0.0,0.0,Foodvisor
2025-09-05,2025-09-05 00:00:00 +0200,Other,60.0,0.0,0.0,Foodvisor
2025-09-07,2025-09-07 00:00:00 +0200,Other,105.0,0.0,0.0,Foodvisor
2025-09-08,2025-09-08 00:00:00 +0200,Other,60.0,0.0,0.0,Foodvisor
2025-09-09,2025-09-09 00:00:00 +0200,Other,60.0,0.0,0.0,Foodvisor
2025-09-18,2025-09-18 00:00:00 +0200,Other,120.0,0.0,0.0,Foodvisor
2025-09-25,2025-09-25 00:00:00 +0200,Other,120.0,0.0,0.0,Foodvisor
2025-09-30,2025-09-30 00:00:00 +0200,Other,60.0,0.0,0.0,Foodvisor
2025-10-01,2025-10-01 00:00:00 +0200,Other,60.0,0.0,0.0,Foodvisor
2025-10-05,2025-10-05 09:15:07 +0200,Running,57.2,0.0,0.0,Strava
2025-10-05,2025-10-05 16:56:35 +0200,Other,51.5,0.0,0.0,Strava
