Date,Session_Type,Exercise,Set,Reps,Weight_kg,Total_Volume_kg,e1RM_kg,Duration_s,Activity_ID
2026-09-01,Pull,Row,1,0,0.0,0.0,0.0,91.4,24191921542
2026-09-01,Pull,Unknown,1,20,30.0,600.0,50.0,59.2,24191921542
2026-09-01,Pull,Unknown,2,20,40.0,800.0,66.7,37.0,24191921542
2026-09-01,Pull,Unknown,3,20,20.0,400.0,33.3,8.1,24191921542
2026-09-01,Pull,Unknown,4,16,36.0,576.0,55.2,53.8,24191921542
2026-09-01,Pull,Unknown,5,16,35.0,560.0,53.7,77.1,24191921542
2026-09-01,Pull,Unknown,6,10,75.0,750.0,100.0,21.1,24191921542
2026-09-01,Pull,Unknown,7,12,100.0,1200.0,140.0,28.9,24191921542
2026-09-01,Pull,Unknown,8,12,115.0,1380.0,161.0,32.1,24191921542
2026-09-01,Pull,Unknown,9,12,80.0,960.0,112.0,25.1,24191921542
2026-09-01,Pull,Unknown,10,12,100.0,1200.0,140.0,18.6,24191921542
2026-09-01,Pull,Unknown,11,12,115.0,1380.0,161.0,18.4,24191921542
2026-09-01,Pull,Unknown,12,10,80.0,800.0,106.7,47.5,24191921542
2026-09-01,Pull,Unknown,13,10,120.0,1200.0,160.0,33.5,24191921542
2026-09-01,Pull,Unknown,14,10,170.0,1700.0,226.7,25.7,24191921542
2026-09-01,Pull,Sit Up,1,15,0.0,0.0,0.0,37.3,24191921542
2026-09-01,Pull,Dumbbell Kickback,1,15,10.0,150.0,15.0,52.2,24191921542
2026-09-01,Pull,Sit Up,2,15,10.0,150.0,15.0,45.2,24191921542
2026-09-01,Pull,Unknown,15,12,40.0,480.0,56.0,19.7,24191921542
2026-09-01,Pull,Unknown,16,12,50.0,600.0,70.0,14.7,24191921542
2026-09-01,Pull,Unknown,17,12,60.0,720.0,84.0,27.5,24191921542
2026-09-01,Pull,Unknown,18,0,0.0,0.0,0.0,6.4,24191921542
2026-09-01,Pull,Unknown,19,0,0.0,0.0,0.0,46.4,24191921542
2026-09-01,Pull,Unknown,20,0,0.0,0.0,0.0,46.2,24191921542
2026-08-28,Pull,Straight Arm Pulldown,1,10,25.0,250.0,33.3,37.1,24147367955
2026-08-28,Pull,Straight Arm Pulldown,2,10,30.0,300.0,40.0,45.6,24147367955
2026-08-28,Pull,Straight Arm Pulldown,3,8,35.0,280.0,44.3,34.9,24147367955
2026-08-28,Pull,Lat Pulldown,1,10,50.0,500.0,66.7,42.0,24147367955
2026-08-28,Pull,Lat Pulldown,2,10,60.0,600.0,80.0,40.1,24147367955
2026-08-28,Pull,Lat Pulldown,3,8,70.0,560.0,88.7,27.7,24147367955
2026-08-28,Pull,Flye,1,10,40.0,400.0,53.3,48.9,24147367955
2026-08-28,Pull,Flye,2,10,50.0,500.0,66.7,50.3,24147367955
2026-08-28,Pull,Flye,3,8,60.0,480.0,76.0,37.0,24147367955
2026-08-28,Pull,Barbell Biceps Curl,1,10,20.0,200.0,26.7,35.0,24147367955
2026-08-28,Pull,Barbell Biceps Curl,2,8,25.0,200.0,31.7,38.3,24147367955
2026-08-28,Pull,Barbell Biceps Curl,3,8,30.0,240.0,38.0,46.3,24147367955
2026-08-28,Pull,Dumbbell Hammer Curl,1,20,10.0,200.0,16.7,46.8,24147367955
2026-08-28,Pull,Dumbbell Hammer Curl,2,20,12.0,240.0,20.0,68.0,24147367955
2026-08-28,Pull,Dumbbell Hammer Curl,3,16,14.0,224.0,21.5,60.3,24147367955
2026-08-28,Pull,Dumbbell Wrist Curl,1,40,10.0,400.0,23.3,32.3,24147367955
2026-08-28,Pull,Dumbbell Wrist Curl,2,50,10.0,500.0,26.7,90.6,24147367955
2026-08-28,Pull,Dumbbell Wrist Curl,3,40,10.0,400.0,23.3,6.2,24147367955
2026-08-28,Pull,Reverse Grip Barbell Biceps Curl,1,10,20.0,200.0,26.7,34.9,24147367955
2026-08-28,Pull,Reverse Grip Barbell Biceps Curl,2,10,20.0,200.0,26.7,36.4,24147367955
2026-08-28,Pull,Reverse Grip Barbell Biceps Curl,3,7,20.0,140.0,24.7,38.2,24147367955
2026-08-28,Pull,Pull Up,1,8,0.0,0.0,0.0,19.5,24147367955
2026-08-28,Pull,Pull Up,2,8,0.0,0.0,0.0,17.8,24147367955
2026-08-27,Legs,Barbell Back Squat,1,8,20.0,160.0,25.3,87.9,24131970235
2026-08-27,Legs,Barbell Back Squat,2,8,60.0,480.0,76.0,54.7,24131970235
2026-08-27,Legs,Barbell Back Squat,3,8,70.0,560.0,88.7,63.3,24131970235
2026-08-27,Legs,Barbell Back Squat,4,8,70.0,560.0,88.7,61.5,24131970235
2026-08-27,Legs,Dumbbell Bulgarian Split Squat,1,16,32.0,512.0,49.1,66.3,24131970235
2026-08-27,Legs,Dumbbell Bulgarian Split Squat,2,16,36.0,576.0,55.2,16.7,24131970235
2026-08-27,Legs,Dumbbell Bulgarian Split Squat,3,16,38.0,608.0,58.3,82.9,24131970235
2026-08-27,Legs,Stretch Calf,1,13,80.0,1040.0,114.7,62.9,24131970235
2026-08-27,Legs,Stretch Calf,2,13,85.0,1105.0,121.8,21.3,24131970235
2026-08-27,Legs,Stretch Calf,3,13,90.0,1170.0,129.0,35.5,24131970235
2026-08-27,Legs,Romanian Deadlift,1,10,40.0,400.0,53.3,45.1,24131970235
2026-08-27,Legs,Romanian Deadlift,2,10,40.0,400.0,53.3,36.2,24131970235
2026-08-27,Legs,Romanian Deadlift,3,8,40.0,320.0,50.7,29.4,24131970235
2026-08-27,Legs,Sit Up,1,15,0.0,0.0,0.0,34.6,24131970235
2026-08-27,Legs,Sit Up,2,15,5.0,75.0,7.5,33.1,24131970235
2026-08-27,Legs,Sit Up,3,15,5.0,75.0,7.5,38.6,24131970235
2026-08-26,Push,Warm Up,1,19,0.0,0.0,0.0,75.3,24118805692
2026-08-26,Push,Bench Press,1,10,20.0,200.0,26.7,89.2,24118805692
2026-08-26,Push,Bench Press,2,8,60.0,480.0,76.0,44.2,24118805692
2026-08-26,Push,Bench Press,3,8,70.0,560.0,88.7,51.8,24118805692
2026-08-26,Push,Bench Press,4,8,75.0,600.0,95.0,56.5,24118805692
2026-08-26,Push,Barbell Shoulder Press,1,8,20.0,160.0,25.3,31.4,24118805692
2026-08-26,Push,Barbell Shoulder Press,2,8,25.0,200.0,31.7,82.6,24118805692
2026-08-26,Push,Barbell Shoulder Press,3,8,30.0,240.0,38.0,41.5,24118805692
2026-08-26,Push,Barbell Shoulder Press,4,6,35.0,210.0,42.0,42.8,24118805692
2026-08-26,Push,Stretch Butterfly,1,8,65.0,520.0,82.3,27.9,24118805692
2026-08-26,Push,Stretch Butterfly,2,8,75.0,600.0,95.0,30.7,24118805692
2026-08-26,Push,Stretch Butterfly,3,8,85.0,680.0,107.7,31.1,24118805692
2026-08-26,Push,Lateral Raise,1,10,12.0,120.0,16.0,39.0,24118805692
2026-08-26,Push,Lateral Raise,2,10,16.0,160.0,21.3,47.7,24118805692
2026-08-26,Push,Lateral Raise,3,8,20.0,160.0,25.3,61.2,24118805692
2026-08-26,Push,Triceps Pressdown,1,8,21.5,172.0,27.2,21.7,24118805692
2026-08-26,Push,Triceps Pressdown,2,8,25.0,200.0,31.7,26.1,24118805692
2026-08-26,Push,Triceps Pressdown,3,8,29.0,232.0,36.7,27.9,24118805692
2026-08-26,Push,Triceps Press,1,8,75.0,600.0,95.0,29.5,24118805692
2026-08-26,Push,Triceps Press,2,8,85.0,680.0,107.7,24.6,24118805692
2026-08-26,Push,Triceps Press,3,8,90.0,720.0,114.0,24.6,24118805692
