Date,Session_Type,Exercise,Set,Reps,Weight_kg
2026-08-18,Push,Bench Press,1,10,20.0
2026-08-18,Push,Bench Press,2,10,60.0
2026-08-18,Push,Bench Press,3,8,65.0
2026-08-18,Push,Bench Press,4,8,70.0
2026-08-18,Push,Bench Press,5,6,75.0
2026-08-18,Push,Barbell Shoulder Press,1,8,20.0
2026-08-18,Push,Barbell Shoulder Press,2,8,30.0
2026-08-18,Push,Barbell Shoulder Press,3,8,35.0
2026-08-18,Push,Push Press,1,8,40.0
2026-08-18,Push,Machine Butterfly,1,10,65.0
2026-08-18,Push,Machine Butterfly,2,10,80.0
2026-08-18,Push,Machine Butterfly,3,10,85.0
2026-08-18,Push,Lateral Raise,1,20,6.0
2026-08-18,Push,Lateral Raise,2,20,8.0
2026-08-18,Push,Lateral Raise,3,20,10.0
2026-08-18,Push,Triceps Extension,1,10,25.0
2026-08-18,Push,Triceps Extension,2,10,25.0
2026-08-18,Push,Triceps Extension,3,10,30.0
2026-08-18,Push,Triceps Press Machine,1,10,80.0
2026-08-18,Push,Triceps Press Machine,2,10,85.0
2026-08-18,Push,Triceps Press Machine,3,10,90.0
2026-08-18,Push,Sit-up,1,15,0.0
2026-08-18,Push,Sit-up,2,15,0.0
2026-08-18,Push,Sit-up,3,15,0.0
2026-08-19,Legs,Barbell Back Squat,1,8,20.0
2026-08-19,Legs,Barbell Back Squat,2,8,60.0
2026-08-19,Legs,Barbell Back Squat,3,8,70.0
2026-08-19,Legs,Barbell Back Squat,4,8,75.0
2026-08-19,Legs,Dumbbell RDL,1,10,14.0
2026-08-19,Legs,Dumbbell RDL,2,10,18.0
2026-08-19,Legs,Dumbbell RDL,3,10,20.0
2026-08-19,Legs,Machine Calf Press,1,20,75.0
2026-08-19,Legs,Machine Calf Press,2,20,80.0
2026-08-19,Legs,Machine Calf Press,3,15,90.0
2026-08-19,Legs,Bulgarian Split Squat,1,16,16.0
2026-08-19,Legs,Bulgarian Split Squat,2,16,18.0
2026-08-19,Legs,Bulgarian Split Squat,3,16,20.0
2026-08-19,Legs,Leg Raise,1,9,0.0
2026-08-19,Legs,Sit-up,1,15,0.0
2026-08-19,Legs,Sit-up,2,15,0.0
2026-08-25,Pull,Pull-up,1,8,0.0
2026-08-25,Pull,Pull-up,2,8,0.0
2026-08-25,Pull,T-Bar Row,1,10,48.0
2026-08-25,Pull,T-Bar Row,2,10,58.0
2026-08-25,Pull,T-Bar Row,3,8,68.0
2026-08-25,Pull,Straight-arm Pulldown,1,10,25.0
2026-08-25,Pull,Straight-arm Pulldown,2,10,30.0
2026-08-25,Pull,Straight-arm Pulldown,3,7,35.0
2026-08-25,Pull,Bent-over DB Row,1,16,24.0
2026-08-25,Pull,Bent-over DB Row,2,16,34.0
2026-08-25,Pull,Bent-over DB Row,3,8,40.0
2026-08-25,Pull,Barbell Biceps Curl,1,10,20.0
2026-08-25,Pull,Barbell Biceps Curl,2,8,25.0
2026-08-25,Pull,Barbell Biceps Curl,3,8,30.0
2026-08-25,Pull,Dumbbell Hammer Curl,1,20,10.0
2026-08-25,Pull,Dumbbell Hammer Curl,2,20,12.0
2026-08-25,Pull,Dumbbell Hammer Curl,3,20,14.0
2026-08-25,Pull,Barbell Reverse Wrist Curl,1,8,20.0
2026-08-25,Pull,Barbell Reverse Wrist Curl,2,7,20.0
2026-08-25,Pull,Barbell Reverse Wrist Curl,3,8,20.0
2026-08-25,Pull,Sit-up,1,15,0.0
2026-08-25,Pull,Sit-up,2,15,0.0
2026-08-25,Pull,Sit-up,3,15,0.0
2026-08-25,Pull,Russian Twist,1,20,5.0
2026-08-25,Pull,Russian Twist,2,20,10.0
2026-08-25,Pull,Russian Twist,3,20,10.0
2026-08-26,Push,Bench Press,1,10,20.0
2026-08-26,Push,Bench Press,2,8,60.0
2026-08-26,Push,Bench Press,3,8,70.0
2026-08-26,Push,Bench Press,4,8,75.0
2026-08-26,Push,Barbell Shoulder Press,1,8,20.0
2026-08-26,Push,Barbell Shoulder Press,2,8,25.0
2026-08-26,Push,Barbell Shoulder Press,3,8,30.0
2026-08-26,Push,Barbell Shoulder Press,4,6,35.0
2026-08-26,Push,Machine Butterfly,1,8,65.0
2026-08-26,Push,Machine Butterfly,2,8,75.0
2026-08-26,Push,Machine Butterfly,3,8,85.0
2026-08-26,Push,Lateral Raise,1,10,12.0
2026-08-26,Push,Lateral Raise,2,10,16.0
2026-08-26,Push,Lateral Raise,3,8,20.0
2026-08-26,Push,Triceps Press-down,1,8,21.5
2026-08-26,Push,Triceps Press-down,2,8,25.0
2026-08-26,Push,Triceps Press-down,3,8,29.0
2026-08-26,Push,Triceps Press Machine,1,8,75.0
2026-08-26,Push,Triceps Press Machine,2,8,85.0
2026-08-26,Push,Triceps Press Machine,3,8,90.0
2026-08-27,Legs,Barbell Back Squat,1,8,20.0
2026-08-27,Legs,Barbell Back Squat,2,8,60.0
